"EmployeeID","Attrition","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","Age","BusinessTravel","Department","DistanceFromHome","Education","Gender","JobLevel","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager"
"30","No","4","4","3","2","3","38","Travel_Rarely","Sales","2","3","Female","1","Divorced","44480","9","12","8","0","10","3","2","1","2"
"31","Yes","1","2","3","2","3","26","Travel_Rarely","Research & Development","4","3","Male","3","Divorced","68540","2","11","8","0","5","5","3","0","2"
"32","No","4","4","3","2","3","28","Travel_Rarely","Research & Development","7","3","Male","1","Single","96370","1","13","8","0","5","6","5","0","2"
"33","No","3","1","3","3","3","49","Travel_Frequently","Research & Development","1","1","Female","2","Single","35910","9","13","8","0","22","2","3","1","2"
"34","No","3","2","3","3","3","36","Travel_Rarely","Sales","5","3","Male","3","Single","54050","4","14","8","0","10","2","8","7","7"
"35","No","4","2","2","3","3","31","Travel_Frequently","Research & Development","9","4","Male","1","Divorced","46840","1","16","8","1","2","4","2","2","2"
"36","Yes","4","4","3","3","3","26","Travel_Rarely","Research & Development","8","3","Male","2","Single","157870","1","12","8","2","8","5","8","7","4"
"37","No","2","4","2","3","3","37","Travel_Frequently","Sales","9","1","Male","1","Married","15140","1","14","8","0","4","3","4","1","2"
"38","No","3","2","4","3","3","42","Travel_Frequently","Sales","2","2","Male","3","Married","29560","5","13","8","0","23","2","20","4","8"
"39","Yes","3","3","3","2","3","18","Travel_Rarely","Research & Development","1","4","Male","1","Single","23350","1","14","8","2","0","3","0","0","0"
"40","No","3","2","2","2","3","35","Travel_Rarely","Sales","20","2","Male","1","Married","51540","0","19","8","0","12","2","11","6","9"
"41","No","3","NA","3","2","3","36","Travel_Frequently","Research & Development","8","3","Female","3","Married","69620","4","12","8","2","4","2","1","0","0"
"42","No","4","2","3","2","3","51","Travel_Rarely","Research & Development","2","3","Male","2","Divorced","56750","5","13","8","0","13","2","4","1","2"
"43","No","4","2","3","3","3","41","Travel_Rarely","Research & Development","29","1","Male","1","Single","23790","1","12","8","0","22","6","22","0","4"
"44","No","4","3","3","3","3","18","Travel_Rarely","Sales","7","3","Male","1","Single","38120","1","15","8","0","0","3","0","0","0"
"45","No","2","1","3","2","4","28","Travel_Rarely","Research & Development","9","3","Male","1","Single","46480","0","23","8","2","9","2","8","0","7"
"46","No","2","4","2","3","3","31","Travel_Rarely","Research & Development","8","1","Male","1","Married","29360","4","12","8","1","10","2","8","7","7"
"47","No","3","4","2","3","4","39","Travel_Rarely","Sales","5","4","Female","2","Divorced","21050","0","20","8","0","19","3","18","3","7"
"48","No","2","2","3","3","4","36","Non-Travel","Research & Development","5","4","Male","1","Married","85780","7","21","8","0","11","4","9","0","8"
"49","No","4","3","2","3","4","32","Travel_Rarely","Sales","2","3","Male","2","Married","27060","1","21","8","1","13","4","13","4","8"
"50","No","1","2","3","2","3","38","Travel_Rarely","Research & Development","5","2","Female","3","Married","63840","3","19","8","2","19","4","10","0","1"
"51","No","4","3","3","2","3","58","Non-Travel","Research & Development","2","3","Male","2","Divorced","39680","2","13","8","2","12","3","5","1","2"
"52","No","3","4","3","2","3","31","Travel_Rarely","Research & Development","20","1","Female","3","Married","99070","0","13","8","1","6","3","5","0","3"
"53","No","1","1","3","3","4","31","Travel_Rarely","Sales","7","4","Male","2","Married","132250","3","21","8","1","9","2","2","1","0"
"54","No","1","1","3","3","3","45","Travel_Frequently","Research & Development","3","1","Female","1","Divorced","35400","1","13","8","0","24","6","24","9","11"
"55","No","3","4","1","3","3","31","Travel_Rarely","Sales","16","4","Female","2","Divorced","28040","0","19","8","2","3","0","2","2","2"
"56","No","4","2","3","3","3","33","Travel_Frequently","Research & Development","9","3","Male","4","Married","193920","6","12","8","1","12","3","10","8","8"
"57","No","3","1","3","3","4","39","Travel_Rarely","Sales","1","4","Male","1","Married","196650","1","22","8","1","21","6","21","11","10"
"58","No","3","4","3","3","3","43","Travel_Frequently","Research & Development","7","4","Male","4","Single","24390","0","15","8","0","9","2","8","1","7"
"59","No","3","3","3","3","4","49","Travel_Rarely","Research & Development","1","3","Male","3","Single","73140","7","22","8","0","25","2","7","0","7"
"60","Yes","3","2","2","3","3","52","Travel_Rarely","Research & Development","7","1","Female","2","Married","47740","2","18","8","1","11","2","8","7","7"
"61","No","3","2","2","3","4","27","Travel_Rarely","Research & Development","15","4","Male","3","Single","39020","1","22","8","0","4","2","4","1","2"
"62","No","3","2","3","4","3","32","Travel_Rarely","Research & Development","1","3","Male","3","Married","26620","1","11","8","1","13","6","13","11","9"
"63","No","4","3","3","4","3","27","Travel_Rarely","Research & Development","13","2","Female","4","Single","28560","1","12","8","2","5","5","5","0","4"
"64","No","4","4","3","4","3","31","Travel_Rarely","Sales","24","3","Male","2","Divorced","10810","4","11","8","3","13","4","7","1","7"
"65","No","1","4","2","3","3","32","Travel_Rarely","Research & Development","7","3","Male","2","Single","24720","7","13","8","0","10","2","7","0","7"
"66","Yes","1","4","2","2","3","28","Travel_Rarely","Research & Development","9","4","Male","1","Married","56730","5","14","8","1","5","4","3","2","2"
"67","No","4","4","3","3","3","30","Travel_Rarely","Research & Development","13","3","Female","4","Married","41970","1","13","8","0","11","3","10","1","9"
"68","No","3","3","3","2","3","31","Travel_Frequently","Research & Development","2","1","Female","1","Married","97130","1","17","8","0","10","5","10","8","9"
"69","No","3","4","3","3","3","39","Travel_Frequently","Research & Development","19","4","Female","1","Married","20620","1","13","8","0","21","4","21","13","3"
"70","Yes","4","3","2","3","3","39","Travel_Rarely","Research & Development","1","1","Female","1","Married","42840","4","17","8","1","12","0","1","0","0"
"71","No","2","4","2","3","3","33","Travel_Frequently","Sales","4","2","Male","4","Single","47880","3","11","8","1","9","0","7","0","1"
"72","No","4","3","3","4","4","47","Travel_Rarely","Research & Development","4","3","Female","2","Married","59060","4","23","8","0","21","4","3","1","1"
"73","No","3","3","4","3","3","43","Travel_Frequently","Research & Development","14","3","Female","5","Divorced","38860","1","17","8","2","9","2","9","0","0"
"74","No","3","2","3","3","3","27","Non-Travel","Research & Development","2","3","Male","1","Married","168230","0","17","8","0","6","3","5","1","4"
"75","No","4","3","2","3","3","54","Travel_Frequently","Research & Development","1","4","Male","2","Single","29330","3","12","8","2","20","2","4","0","3"
"76","No","3","1","2","3","4","43","Travel_Rarely","Research & Development","7","2","Female","2","Married","65000","8","23","8","0","10","3","1","0","0"
"77","No","4","4","3","3","3","45","Travel_Rarely","Sales","3","1","Female","1","Married","171740","9","14","8","1","12","6","10","9","8"
"78","No","2","4","2","3","3","40","Travel_Rarely","Research & Development","2","4","Male","4","Married","50330","2","14","8","2","6","6","4","0","2"
"79","Yes","2","1","2","3","3","29","Travel_Rarely","Research & Development","29","3","Female","1","Married","23070","1","13","8","1","7","0","7","0","7"
"80","No","2","4","3","3","4","29","Travel_Rarely","Human Resources","8","3","Male","3","Single","25870","0","22","8","2","4","3","3","2","2"
"81","No","4","3","3","2","3","30","Travel_Rarely","Research & Development","10","3","Male","2","Divorced","55070","1","12","8","2","10","2","10","1","2"
"82","No","2","2","3","2","3","27","Travel_Rarely","Research & Development","11","2","Male","1","Married","43930","1","18","8","1","8","2","8","0","7"
"83","No","4","4","2","3","3","37","Travel_Rarely","Sales","1","4","Male","2","Divorced","133480","7","14","8","0","8","4","6","0","4"
"84","No","3","4","3","3","3","38","Travel_Rarely","Research & Development","28","4","Male","1","Divorced","65830","0","12","8","0","12","1","11","2","9"
"85","No","3","4","NA","3","3","31","Travel_Rarely","Research & Development","6","3","Female","3","Single","81030","1","15","8","1","11","5","11","4","10"
"86","No","4","2","3","3","3","29","Travel_Rarely","Research & Development","3","4","Male","3","Divorced","39780","1","11","8","0","7","0","7","1","7"
"87","No","3","2","3","4","3","35","Travel_Rarely","Sales","16","2","Male","3","Single","25440","0","13","8","1","17","3","16","0","13"
"88","No","3","4","2","2","4","23","Travel_Rarely","Research & Development","20","4","Male","1","Divorced","53990","1","23","8","0","4","2","4","0","2"
"89","No","4","2","3","3","3","41","Travel_Rarely","Research & Development","9","2","Female","1","Single","54870","6","19","8","2","8","0","5","1","2"
"90","No","2","3","3","4","3","47","Travel_Frequently","Sales","1","3","Female","2","Single","68340","3","16","8","1","5","2","0","0","0"
"91","No","1","4","3","1","4","42","Travel_Rarely","Research & Development","3","4","Male","1","Single","10910","2","22","8","0","16","0","1","0","0"
"92","No","4","3","2","2","4","29","Non-Travel","Sales","22","4","Male","2","Married","57360","1","22","8","0","4","1","4","0","2"
"93","No","3","3","3","2","3","42","Travel_Rarely","Sales","7","4","Male","3","Divorced","22260","0","12","8","1","4","3","3","1","0"
"94","No","3","2","3","3","3","32","Travel_Rarely","Research & Development","2","3","Male","2","Married","57470","1","13","8","0","8","0","8","0","7"
"95","No","1","3","1","2","3","48","Travel_Rarely","Sales","13","4","Male","4","Married","98540","3","16","8","1","15","2","0","0","0"
"96","No","3","1","3","3","3","37","Travel_Rarely","Research & Development","8","5","Male","2","Divorced","54670","4","12","8","0","13","2","7","6","7"
"97","No","4","3","4","3","4","30","Non-Travel","Sales","25","4","Male","1","Married","53800","7","21","8","1","4","0","2","2","2"
"98","No","3","3","3","3","3","26","Travel_Rarely","Sales","28","3","Female","5","Married","51510","1","15","8","3","8","3","8","7","7"
"99","No","1","4","3","3","3","42","Travel_Rarely","Sales","2","2","Female","1","Single","21330","3","13","8","2","14","2","1","0","0"
"100","Yes","1","2","3","2","3","21","Travel_Frequently","Research & Development","9","3","Female","4","Single","178750","1","12","8","0","3","5","3","1","2"
"101","No","4","4","3","1","4","36","Non-Travel","Human Resources","28","3","Male","2","Single","24320","4","22","8","0","7","4","1","0","0"
"102","No","1","4","3","3","3","36","Travel_Frequently","Research & Development","6","3","Female","2","Married","47710","4","13","8","1","16","2","13","1","12"
"103","No","4","3","3","1","3","57","Travel_Rarely","Research & Development","21","4","Male","5","Married","191610","2","18","8","0","15","2","3","1","2"
"104","No","4","3","3","3","3","40","Travel_Rarely","Research & Development","8","3","Male","2","Married","50870","3","14","8","1","10","3","7","1","7"
"105","No","1","4","2","1","3","21","Non-Travel","Research & Development","1","5","Female","2","Single","28630","1","14","8","0","3","2","3","2","2"
"106","Yes","4","3","3","1","4","33","Travel_Rarely","Human Resources","28","2","Female","5","Single","55610","1","21","8","1","1","3","1","0","0"
"107","No","3","1","3","4","3","37","Travel_Rarely","Research & Development","5","3","Male","4","Married","21440","6","19","8","0","17","3","5","0","3"
"108","No","3","3","4","3","3","46","Non-Travel","Sales","2","4","Female","2","Married","30650","2","11","8","0","7","3","1","0","0"
"109","Yes","1","2","3","4","3","41","Travel_Frequently","Research & Development","16","1","Female","1","Single","28100","1","11","8","0","8","3","8","7","7"
"110","No","4","4","3","3","3","50","Travel_Rarely","Research & Development","9","3","Female","3","Single","98880","6","15","8","0","20","2","4","1","3"
"111","Yes","3","3","3","2","4","40","Travel_Rarely","Research & Development","8","3","Female","1","Married","86280","2","20","8","0","8","2","6","1","0"
"112","No","NA","2","3","3","4","31","Travel_Rarely","Research & Development","1","3","Male","4","Single","28670","0","24","8","0","3","5","2","2","2"
"113","Yes","3","2","3","3","3","21","Travel_Rarely","Human Resources","10","2","Male","1","Single","53730","1","12","8","1","1","2","1","0","0"
"114","No","4","4","3","4","3","29","Travel_Rarely","Research & Development","1","3","Female","2","Single","66670","9","12","8","1","6","6","3","1","2"
"115","No","3","2","3","3","3","35","Travel_Rarely","Research & Development","29","3","Female","3","Single","50030","9","15","8","0","10","2","1","0","0"
"116","No","4","2","3","3","3","27","Travel_Rarely","Sales","2","3","Male","1","Divorced","23670","NA","12","8","1","5","2","5","0","4"
"117","No","2","4","3","2","3","28","Travel_Rarely","Research & Development","2","2","Male","3","Single","28580","1","12","8","0","7","2","7","0","7"
"118","No","2","3","3","3","3","49","Travel_Rarely","Sales","2","3","Male","2","Single","52040","8","14","8","1","26","3","5","0","0"
"119","No","3","4","2","3","4","51","Travel_Rarely","Research & Development","1","2","Male","1","Married","41050","4","22","8","1","18","2","7","0","7"
"120","No","4","3","3","3","3","36","Travel_Rarely","Sales","15","2","Male","1","Married","96790","4","12","8","0","6","1","2","2","2"
"121","Yes","1","4","2","3","4","34","Non-Travel","Research & Development","7","3","Male","1","Single","56170","8","25","8","1","9","3","5","0","4"
"122","No","3","4","3","3","3","55","Travel_Rarely","Sales","26","3","Male","1","Single","104480","2","13","8","0","30","3","5","1","2"
"123","No","4","3","4","3","3","24","Travel_Rarely","Research & Development","1","3","Female","5","Divorced","28970","1","18","8","3","5","4","5","0","3"
"124","No","3","2","3","3","3","30","Travel_Rarely","Research & Development","3","3","Female","2","Married","59680","1","13","8","0","1","3","1","0","0"
"125","Yes","3","NA","3","3","3","26","Travel_Frequently","Sales","14","3","Male","2","Single","75100","0","18","8","3","7","3","6","0","4"
"126","No","1","2","3","2","3","22","Travel_Rarely","Research & Development","16","5","Male","1","Married","29910","1","19","8","2","2","3","2","1","2"
"127","No","2","3","3","3","3","36","Travel_Rarely","Research & Development","1","3","Female","5","Married","196360","1","12","8","1","10","3","10","9","0"
"128","Yes","3","4","3","2","3","30","Travel_Frequently","Sales","3","2","Male","3","Single","11290","9","19","8","0","3","2","1","0","0"
"129","No","4","1","2","3","3","37","Travel_Rarely","Research & Development","10","1","Male","1","Divorced","133410","1","14","8","1","18","3","18","12","17"
"130","No","4","2","3","2","3","40","Travel_Rarely","Research & Development","6","2","Male","3","Divorced","43320","7","14","8","2","8","3","5","1","3"
"131","No","2","1","3","2","3","42","Travel_Rarely","Research & Development","2","3","Female","4","Divorced","110310","3","12","8","1","8","2","5","1","2"
"132","No","3","2","2","2","3","37","Travel_Rarely","Sales","9","1","Male","3","Single","44400","2","11","8","1","18","3","1","0","1"
"133","No","1","2","3","3","3","43","Travel_Rarely","Sales","10","2","Female","1","Divorced","46170","1","11","8","0","25","2","25","3","9"
"134","No","2","3","3","2","3","40","Travel_Rarely","Sales","6","2","Female","1","Married","26470","6","13","8","0","20","2","1","0","0"
"135","No","1","1","2","2","4","54","Travel_Rarely","Human Resources","9","3","Female","2","Married","63230","4","23","8","1","24","2","4","1","2"
"136","No","3","3","3","3","4","34","Non-Travel","Research & Development","28","3","Male","1","Married","56770","9","20","8","1","6","3","3","1","2"
"137","No","2","1","1","2","3","31","Travel_Rarely","Research & Development","10","4","Male","3","Married","21870","1","15","8","1","13","2","13","3","12"
"138","No","4","4","3","2","3","43","Travel_Frequently","Sales","14","3","Female","1","Married","37480","7","14","8","2","NA","3","3","1","2"
"139","No","3","3","3","3","3","43","Travel_Rarely","Sales","27","4","Male","2","Divorced","39770","4","18","8","1","8","3","5","0","2"
"140","No","2","4","3","4","3","25","Travel_Rarely","Human Resources","7","2","Male","1","Single","86330","1","19","8","1","5","2","5","1","3"
"141","No","2","3","3","2","4","37","Non-Travel","Research & Development","1","3","Male","3","Married","20080","3","22","8","0","15","5","13","10","7"
"142","No","4","1","3","3","3","31","Travel_Rarely","Research & Development","24","1","Male","3","Married","44400","1","13","8","1","4","2","4","3","2"
"143","No","2","3","3","1","4","39","Travel_Frequently","Research & Development","26","4","Female","1","Divorced","30670","1","20","8","1","21","5","21","1","6"
"144","No","3","1","2","3","3","56","Travel_Frequently","Research & Development","20","4","Female","3","Married","53210","9","14","8","0","36","1","7","7","7"
"145","No","2","3","3","3","3","30","Travel_Rarely","Sales","5","4","Female","2","Single","54100","0","17","8","1","6","2","5","4","4"
"146","No","2","1","3","2","3","41","Travel_Rarely","Research & Development","7","3","Female","3","Married","27820","1","14","8","0","10","2","10","0","7"
"147","No","3","1","3","2","3","28","Travel_Rarely","Research & Development","7","3","Male","3","Divorced","119570","1","13","8","0","10","2","10","1","8"
"148","Yes","1","1","3","3","3","25","Travel_Rarely","Research & Development","5","2","Female","3","Married","26600","5","13","8","0","6","3","2","0","2"
"149","No","4","3","3","2","4","52","Travel_Rarely","Research & Development","26","2","Female","2","Married","33750","2","21","8","0","28","2","5","0","4"
"150","No","1","4","2","3","3","45","Travel_Rarely","Research & Development","2","3","Female","1","Married","50980","3","14","8","1","8","4","2","0","2"
"151","No","4","4","1","3","3","52","Travel_Rarely","Research & Development","12","3","Male","2","Married","48780","2","11","8","1","31","3","5","1","4"
"152","No","1","3","3","2","3","42","Travel_Frequently","Sales","10","3","Female","2","Divorced","28370","2","13","8","1","19","0","5","0","2"
"153","No","3","4","3","3","4","30","Travel_Rarely","Sales","25","3","Male","1","Single","24060","2","20","8","1","11","5","5","0","2"
"154","No","1","1","1","3","3","60","Travel_Rarely","Research & Development","10","3","Female","1","Married","22690","5","18","8","1","33","4","29","11","10"
"155","No","3","3","2","2","3","46","Travel_Rarely","Sales","19","4","Female","1","Divorced","41080","2","14","8","0","19","5","10","0","8"
"156","No","4","4","4","3","3","42","Travel_Frequently","Research & Development","18","4","Male","4","Married","132060","0","13","8","2","7","2","6","0","4"
"157","Yes","1","2","3","2","3","24","Travel_Rarely","Research & Development","27","2","Male","1","Single","104220","1","17","8","1","6","0","5","1","4"
"158","Yes","4","3","2","3","4","34","Travel_Frequently","Research & Development","5","3","Male","2","Divorced","137440","0","20","8","1","3","3","2","1","0"
"159","No","4","4","3","3","3","38","Travel_Frequently","Sales","3","3","Female","2","Married","49070","1","11","8","1","1","3","1","0","0"
"160","No","3","3","3","2","3","40","Travel_Rarely","Sales","26","4","Female","1","Married","34820","0","18","8","1","21","2","20","1","12"
"161","No","1","4","1","4","4","26","Travel_Rarely","Research & Development","3","2","Female","4","Divorced","24360","1","24","8","0","3","2","3","0","2"
"162","No","3","4","1","2","3","30","Non-Travel","Research & Development","15","3","Female","2","Married","23800","4","18","8","3","9","2","5","1","4"
"163","No","2","3","3","3","3","29","Travel_Rarely","Research & Development","8","3","Female","3","Married","194310","1","11","8","0","10","3","10","0","7"
"164","Yes","3","2","4","2","3","29","Travel_Rarely","Research & Development","19","4","Male","3","Married","17900","5","16","8","1","6","4","2","1","1"
"165","Yes","1","4","4","3","3","19","Travel_Rarely","Research & Development","4","3","Male","1","Single","76440","1","15","8","2","1","2","1","0","0"
"166","No","3","1","3","3","3","30","Non-Travel","Research & Development","2","4","Female","3","Married","51310","0","15","8","1","10","2","9","7","8"
"167","No","1","4","2","3","3","57","Travel_Rarely","Research & Development","2","2","Male","4","Divorced","63060","3","12","8","1","32","3","1","0","0"
"168","No","2","3","3","3","3","50","Travel_Rarely","Sales","10","4","Female","3","Married","47870","0","12","8","0","28","3","27","15","7"
"169","No","3","4","2","3","4","30","Non-Travel","Sales","10","2","Male","3","Single","188800","0","22","8","1","12","3","11","6","7"
"170","No","3","1","4","3","4","60","Travel_Frequently","Research & Development","16","3","Female","4","Married","23390","4","20","8","0","22","4","18","13","11"
"171","No","1","4","3","2","3","47","Travel_Rarely","Research & Development","1","3","Male","5","Divorced","135700","5","16","8","2","20","2","5","0","4"
"172","No","1","3","1","2","4","46","Travel_Rarely","Sales","4","1","Male","1","Married","67120","6","21","8","1","26","3","3","0","1"
"173","No","4","3","3","3","3","35","Travel_Rarely","Research & Development","15","2","Female","2","Single","54060","0","12","8","1","6","2","5","4","3"
"174","No","3","3","3","3","3","54","Travel_Rarely","Research & Development","2","4","Male","2","Single","89380","7","11","8","3","19","2","1","0","0"
"175","No","4","3","3","4","3","34","Travel_Rarely","Sales","8","2","Male","1","Divorced","24390","3","11","8","2","14","2","7","5","7"
"176","No","3","4","3","2","3","46","Travel_Rarely","Research & Development","2","3","Male","1","Married","88370","2","18","8","0","15","3","3","1","2"
"177","No","3","2","4","3","3","31","Travel_Rarely","Research & Development","7","3","Male","2","Divorced","53430","1","14","8","1","13","3","13","0","8"
"178","Yes","2","3","4","2","4","33","Travel_Rarely","Research & Development","10","3","Female","4","Married","67280","7","22","8","0","15","2","7","7","7"
"179","Yes","1","4","3","3","4","33","Travel_Rarely","Sales","5","4","Male","2","Divorced","66520","7","25","8","0","8","5","4","1","3"
"180","No","4","2","3","3","3","30","Travel_Rarely","Research & Development","2","3","Male","1","Single","48500","0","12","8","1","4","4","3","1","2"
"181","No","4","3","3","1","4","35","Travel_Rarely","Research & Development","12","2","Female","2","Married","28090","4","23","8","1","10","2","8","0","0"
"182","Yes","1","3","3","2","3","31","Travel_Frequently","Research & Development","22","2","Female","2","Married","56890","3","15","8","2","12","2","1","0","0"
"183","Yes","2","1","3","4","4","34","Travel_Frequently","Sales","17","1","Male","1","Divorced","20010","9","22","8","1","11","5","3","0","2"
"184","No","2","3","3","2","3","42","Travel_Frequently","Research & Development","2","4","Female","1","Married","29770","4","15","8","3","8","3","2","2","0"
"185","No","2","4","2","3","3","36","Non-Travel","Research & Development","3","4","Male","1","Single","40250","1","11","8","0","10","3","10","9","7"
"186","Yes","3","3","3","3","3","22","Travel_Frequently","Research & Development","7","3","Female","2","Single","37850","5","13","8","2","4","2","2","1","2"
"187","No","2","4","3","3","3","48","Travel_Rarely","Research & Development","6","3","Male","1","Married","108540","2","14","8","1","14","6","9","6","7"
"188","No","1","2","3","3","3","55","Travel_Rarely","Research & Development","1","3","Female","1","Single","120310","3","11","8","0","37","5","10","7","7"
"189","No","4","4","3","2","3","41","Non-Travel","Research & Development","3","2","Female","2","Single","99360","7","17","8","1","16","2","14","1","10"
"190","No","2","3","3","2","3","35","Travel_Rarely","Research & Development","22","3","Female","1","Married","29660","9","18","8","0","15","2","11","6","9"
"191","No","2","3","3","3","3","40","Travel_Rarely","Research & Development","15","3","Female","2","Single","25710","7","14","8","0","22","1","20","5","13"
"192","No","3","3","3","3","3","39","Travel_Frequently","Research & Development","12","1","Male","1","Married","99910","1","16","8","1","8","3","8","0","7"
"193","No","2","4","4","2","3","31","Travel_Rarely","Research & Development","1","4","Male","3","Single","61420","4","13","8","2","10","2","6","0","5"
"194","No","4","1","2","3","3","42","Travel_Rarely","Research & Development","5","3","Male","3","Married","53900","1","14","8","0","10","3","10","5","8"
"195","No","4","2","4","3","4","45","Travel_Rarely","Research & Development","2","1","Female","4","Married","44040","0","23","8","0","9","2","8","3","7"
"196","Yes","NA","3","2","3","3","26","Travel_Frequently","Research & Development","2","1","Female","2","Divorced","59930","0","12","8","0","8","3","7","1","0"
"197","No","4","4","4","2","3","29","Travel_Rarely","Research & Development","5","3","Male","1","Divorced","51300","4","11","8","0","8","3","3","1","2"
"198","No","1","3","3","3","3","33","Travel_Rarely","Research & Development","16","3","Female","1","Divorced","20900","4","16","8","0","10","2","6","0","5"
"199","No","3","4","2","3","3","31","Travel_Rarely","Research & Development","2","4","Female","1","Divorced","29090","9","14","8","2","10","2","5","0","1"
"200","Yes","2","2","3","4","3","18","Travel_Frequently","Research & Development","2","3","Male","1","Single","34680","1","18","8","2","0","4","0","0","0"
"201","No","3","1","3","2","3","40","Non-Travel","Research & Development","1","4","Female","2","Divorced","30680","3","19","8","0","20","3","1","0","1"
"202","No","1","3","3","2","3","41","Non-Travel","Research & Development","23","3","Male","2","Single","26700","2","15","8","2","10","2","8","0","7"
"203","No","1","3","3","2","3","26","Travel_Rarely","Research & Development","9","4","Male","3","Divorced","26930","5","17","8","3","8","3","0","0","0"
"204","No","1","3","3","2","3","35","Travel_Rarely","Research & Development","16","4","Male","2","Single","95260","1","15","8","0","5","2","5","0","3"
"205","No","4","4","3","2","3","34","Travel_Rarely","Research & Development","26","3","Male","1","Single","52370","1","19","8","1","10","3","10","5","7"
